dataset,model,scenario,overlap_count,jaccard,clean_top_k,perturbed_top_k,source_file
mnist,rf,high_cardinality,9,0.8181818181818182,"[""pixel_2_5"", ""pixel_5_3"", ""pixel_3_2"", ""pixel_4_4"", ""pixel_5_2"", ""pixel_3_6"", ""pixel_4_1"", ""pixel_4_6"", ""pixel_7_5"", ""pixel_4_2""]","[""pixel_2_5"", ""pixel_5_3"", ""pixel_3_2"", ""pixel_5_2"", ""pixel_4_6"", ""pixel_3_6"", ""pixel_4_4"", ""pixel_4_1"", ""pixel_3_4"", ""pixel_7_5""]",results/robustness_challenges/shap_delta_mnist_rf.json
mnist,tabnet,missingness,1,0.05263157894736842,"[""pixel_0_4"", ""pixel_4_2"", ""pixel_5_3"", ""pixel_1_1"", ""pixel_0_5"", ""pixel_2_1"", ""pixel_3_5"", ""pixel_5_7"", ""pixel_2_5"", ""pixel_0_6""]","[""pixel_6_6"", ""pixel_7_2"", ""pixel_4_5"", ""pixel_7_5"", ""pixel_4_3"", ""pixel_7_7"", ""pixel_4_2"", ""pixel_2_2"", ""pixel_4_1"", ""pixel_1_2""]",results/robustness_challenges/shap_delta_mnist_tabnet.json
mnist,tabnet,high_cardinality,1,0.05263157894736842,"[""pixel_0_4"", ""pixel_4_2"", ""pixel_5_3"", ""pixel_1_1"", ""pixel_0_5"", ""pixel_2_1"", ""pixel_3_5"", ""pixel_5_7"", ""pixel_2_5"", ""pixel_0_6""]","[""pixel_7_4"", ""pixel_4_1"", ""pixel_3_1"", ""pixel_4_2"", ""pixel_3_3"", ""pixel_6_7"", ""pixel_6_4"", ""pixel_5_5"", ""pixel_4_5"", ""pixel_6_6""]",results/robustness_challenges/shap_delta_mnist_tabnet.json
mnist,tabpfn,missingness,0,0.0,[],[],results/robustness_challenges/shap_delta_mnist_tabpfn.json
mnist,tabpfn,high_cardinality,0,0.0,[],[],results/robustness_challenges/shap_delta_mnist_tabpfn.json
mnist,xgboost,missingness,8,0.6666666666666666,"[""pixel_2_5"", ""pixel_3_2"", ""pixel_5_2"", ""pixel_5_3"", ""pixel_4_4"", ""pixel_7_5"", ""pixel_6_5"", ""pixel_3_3"", ""pixel_2_4"", ""pixel_4_6""]","[""pixel_2_5"", ""pixel_3_2"", ""pixel_5_2"", ""pixel_5_3"", ""pixel_6_5"", ""pixel_3_4"", ""pixel_3_3"", ""pixel_6_6"", ""pixel_2_4"", ""pixel_4_6""]",results/robustness_challenges/shap_delta_mnist_xgboost.json
mnist,xgboost,high_cardinality,9,0.8181818181818182,"[""pixel_2_5"", ""pixel_3_2"", ""pixel_5_2"", ""pixel_5_3"", ""pixel_4_4"", ""pixel_7_5"", ""pixel_6_5"", ""pixel_3_3"", ""pixel_2_4"", ""pixel_4_6""]","[""pixel_2_5"", ""pixel_5_2"", ""pixel_3_2"", ""pixel_5_3"", ""pixel_7_5"", ""pixel_4_4"", ""pixel_3_3"", ""pixel_2_4"", ""pixel_6_5"", ""pixel_3_4""]",results/robustness_challenges/shap_delta_mnist_xgboost.json
telco,apt,missingness,0,0.0,[],[],results/robustness_challenges/shap_delta_telco_apt.json
telco,apt,high_cardinality,0,0.0,[],[],results/robustness_challenges/shap_delta_telco_apt.json
telco,catboost,missingness,9,0.8181818181818182,"[""Contract"", ""tenure"", ""OnlineSecurity"", ""MonthlyCharges"", ""InternetService"", ""TechSupport"", ""TotalCharges"", ""PaymentMethod"", ""MultipleLines"", ""customerID""]","[""Contract"", ""tenure"", ""InternetService"", ""TechSupport"", ""OnlineSecurity"", ""TotalCharges"", ""PaymentMethod"", ""MultipleLines"", ""StreamingMovies"", ""MonthlyCharges""]",results/robustness_challenges/shap_delta_telco_catboost.json
telco,catboost,high_cardinality,9,0.8181818181818182,"[""Contract"", ""tenure"", ""OnlineSecurity"", ""MonthlyCharges"", ""InternetService"", ""TechSupport"", ""TotalCharges"", ""PaymentMethod"", ""MultipleLines"", ""customerID""]","[""Contract"", ""tenure"", ""InternetService"", ""TechSupport"", ""OnlineSecurity"", ""MonthlyCharges"", ""PaymentMethod"", ""MultipleLines"", ""TotalCharges"", ""OnlineBackup""]",results/robustness_challenges/shap_delta_telco_catboost.json
telco,mlp,missingness,7,0.5384615384615384,"[""InternetService"", ""tenure"", ""TechSupport"", ""gender"", ""PaymentMethod"", ""Contract"", ""OnlineSecurity"", ""MultipleLines"", ""MonthlyCharges"", ""TotalCharges""]","[""StreamingTV"", ""MultipleLines"", ""MonthlyCharges"", ""gender"", ""tenure"", ""Contract"", ""OnlineSecurity"", ""OnlineBackup"", ""PaymentMethod"", ""PhoneService""]",results/robustness_challenges/shap_delta_telco_mlp.json
telco,mlp,high_cardinality,5,0.3333333333333333,"[""InternetService"", ""tenure"", ""TechSupport"", ""gender"", ""PaymentMethod"", ""Contract"", ""OnlineSecurity"", ""MultipleLines"", ""MonthlyCharges"", ""TotalCharges""]","[""gender"", ""high_card_0"", ""high_card_1"", ""PaymentMethod"", ""tenure"", ""Partner"", ""SeniorCitizen"", ""InternetService"", ""TechSupport"", ""StreamingTV""]",results/robustness_challenges/shap_delta_telco_mlp.json
telco,rf,missingness,10,1.0,"[""Contract"", ""tenure"", ""OnlineSecurity"", ""TotalCharges"", ""MonthlyCharges"", ""TechSupport"", ""customerID"", ""InternetService"", ""OnlineBackup"", ""PaymentMethod""]","[""Contract"", ""tenure"", ""OnlineSecurity"", ""MonthlyCharges"", ""TotalCharges"", ""customerID"", ""InternetService"", ""TechSupport"", ""OnlineBackup"", ""PaymentMethod""]",results/robustness_challenges/shap_delta_telco_rf.json
telco,rf,high_cardinality,9,0.8181818181818182,"[""Contract"", ""tenure"", ""OnlineSecurity"", ""TotalCharges"", ""MonthlyCharges"", ""TechSupport"", ""customerID"", ""InternetService"", ""OnlineBackup"", ""PaymentMethod""]","[""Contract"", ""tenure"", ""OnlineSecurity"", ""customerID"", ""TotalCharges"", ""MonthlyCharges"", ""InternetService"", ""TechSupport"", ""high_card_0"", ""OnlineBackup""]",results/robustness_challenges/shap_delta_telco_rf.json
telco,tabnet,missingness,8,0.6666666666666666,"[""Contract"", ""TechSupport"", ""tenure"", ""InternetService"", ""TotalCharges"", ""MonthlyCharges"", ""OnlineSecurity"", ""PaperlessBilling"", ""PaymentMethod"", ""MultipleLines""]","[""MonthlyCharges"", ""Contract"", ""TotalCharges"", ""tenure"", ""OnlineBackup"", ""OnlineSecurity"", ""InternetService"", ""PaperlessBilling"", ""TechSupport"", ""DeviceProtection""]",results/robustness_challenges/shap_delta_telco_tabnet.json
telco,tabnet,high_cardinality,7,0.5384615384615384,"[""Contract"", ""TechSupport"", ""tenure"", ""InternetService"", ""TotalCharges"", ""MonthlyCharges"", ""OnlineSecurity"", ""PaperlessBilling"", ""PaymentMethod"", ""MultipleLines""]","[""Contract"", ""MultipleLines"", ""MonthlyCharges"", ""TotalCharges"", ""tenure"", ""high_card_0"", ""StreamingMovies"", ""OnlineBackup"", ""PaymentMethod"", ""InternetService""]",results/robustness_challenges/shap_delta_telco_tabnet.json
telco,xgboost,missingness,9,0.8181818181818182,"[""Contract"", ""tenure"", ""MonthlyCharges"", ""OnlineSecurity"", ""TechSupport"", ""customerID"", ""PaymentMethod"", ""TotalCharges"", ""MultipleLines"", ""PaperlessBilling""]","[""Contract"", ""tenure"", ""MonthlyCharges"", ""OnlineSecurity"", ""customerID"", ""PaymentMethod"", ""TechSupport"", ""TotalCharges"", ""MultipleLines"", ""OnlineBackup""]",results/robustness_challenges/shap_delta_telco_xgboost.json
telco,xgboost,high_cardinality,9,0.8181818181818182,"[""Contract"", ""tenure"", ""MonthlyCharges"", ""OnlineSecurity"", ""TechSupport"", ""customerID"", ""PaymentMethod"", ""TotalCharges"", ""MultipleLines"", ""PaperlessBilling""]","[""Contract"", ""tenure"", ""MonthlyCharges"", ""OnlineSecurity"", ""TechSupport"", ""customerID"", ""PaymentMethod"", ""MultipleLines"", ""TotalCharges"", ""high_card_0""]",results/robustness_challenges/shap_delta_telco_xgboost.json
